rows;1000
cols;1000
its;1
algorithm;P;min;avg;max
build/stencil_cilk/cilk_benchmark;10;692.508789;695.079631;698.647949
build/stencil_cilk/cilk_benchmark;12;698.881836;702.811580;709.930908
build/stencil_cilk/cilk_benchmark;16;725.444092;730.721908;733.483887
build/stencil_cilk/cilk_benchmark;20;740.540771;743.291406;749.347168
build/stencil_cilk/cilk_benchmark;24;756.358154;759.459017;768.547852
build/stencil_cilk/cilk_benchmark;32;823.822021;828.194287;833.495117
build/stencil_cilk/cilk_benchmark;36;804.410889;807.622013;810.833008
build/stencil_cilk/cilk_benchmark;40;850.372070;859.847233;884.979004
build/stencil_cilk/cilk_benchmark;48;2527.846191;2730.237882;2864.937012

rows;6000
cols;6000
its;1
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;152.661133;161.156396;162.739014
build/stencil_sequential/sequential_benchmark_one_vector;1;178.148193;178.455835;179.054932
build/stencil_cilk/cilk_benchmark;1;183.592041;183.630908;183.695068
build/stencil_cilk/cilk_benchmark;2;115.498047;116.832153;118.212158
build/stencil_cilk/cilk_benchmark;4;82.623779;83.194312;86.787842
build/stencil_cilk/cilk_benchmark;8;69.266113;69.741235;70.130127
build/stencil_cilk/cilk_benchmark;10;67.623047;68.571021;70.312988
build/stencil_cilk/cilk_benchmark;12;69.223877;69.569214;69.824951
build/stencil_cilk/cilk_benchmark;16;68.515137;69.698926;73.227051
build/stencil_cilk/cilk_benchmark;20;70.113037;72.497314;75.735107
build/stencil_cilk/cilk_benchmark;24;71.443115;73.201294;77.113037
build/stencil_cilk/cilk_benchmark;32;72.089111;73.502783;75.016846
build/stencil_cilk/cilk_benchmark;36;85.916016;89.812158;92.593018
build/stencil_cilk/cilk_benchmark;40;106.654053;109.698804;121.255127
build/stencil_cilk/cilk_benchmark;48;77.149902;79.816797;92.979004

rows;6000
cols;6000
its;10
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;1453.677979;1517.032373;1607.097900
build/stencil_sequential/sequential_benchmark_one_vector;1;1800.568848;1803.963965;1814.514160
build/stencil_cilk/cilk_benchmark;1;1803.104980;1827.081494;1831.360107
build/stencil_cilk/cilk_benchmark;2;1099.721191;1149.231396;1171.552002
build/stencil_cilk/cilk_benchmark;4;831.288086;836.440820;838.802979
build/stencil_cilk/cilk_benchmark;8;697.726074;698.869019;701.862061
build/stencil_cilk/cilk_benchmark;10;682.694092;683.753125;687.261963
build/stencil_cilk/cilk_benchmark;12;683.149902;685.032837;695.857910
build/stencil_cilk/cilk_benchmark;16;689.248047;695.051392;740.510986
build/stencil_cilk/cilk_benchmark;20;694.583984;697.561035;712.480957
build/stencil_cilk/cilk_benchmark;24;705.225098;706.981909;712.147949
build/stencil_cilk/cilk_benchmark;32;722.491943;725.554810;734.364990
build/stencil_cilk/cilk_benchmark;36;733.545898;746.632910;750.321045
build/stencil_cilk/cilk_benchmark;40;758.820068;761.977466;773.656006
build/stencil_cilk/cilk_benchmark;48;771.453125;791.194116;810.916016
