build/stencil_openmp/openmp_benchmark_one_vector_colwise_tld;24;0.400162;0.454594;0.991921
build/stencil_openmp/openmp_benchmark_one_vector_colwise_tld;32;0.339168;0.403988;0.873506
build/stencil_openmp/openmp_benchmark_one_vector_colwise_tld;36;0.470508;0.574558;1.218523
build/stencil_openmp/openmp_benchmark_one_vector_colwise_tld;40;0.710996;0.856794;1.810573
build/stencil_openmp/openmp_benchmark_one_vector_colwise_tld;48;0.441423;0.528608;1.164968
;;;;
rows;1000;;;
cols;1000;;;
its;10;;;
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;49.778809;51.729736;60.938965
build/stencil_sequential/sequential_benchmark_one_vector;1;36.185059;36.216960;36.560059
build/stencil_openmp/openmp_benchmark_tmp_matrix;1;41.041507;43.259060;62.659996
build/stencil_openmp/openmp_benchmark_tmp_matrix;2;24.585935;26.514315;41.191244
build/stencil_openmp/openmp_benchmark_tmp_matrix;4;18.393221;18.820397;26.852574
build/stencil_openmp/openmp_benchmark_tmp_matrix;8;13.148154;13.662308;18.290027
build/stencil_openmp/openmp_benchmark_tmp_matrix;10;10.665883;10.985954;14.546667
build/stencil_openmp/openmp_benchmark_tmp_matrix;12;10.778412;11.013084;13.534839
build/stencil_openmp/openmp_benchmark_tmp_matrix;16;10.959565;11.135093;12.615239
build/stencil_openmp/openmp_benchmark_tmp_matrix;20;12.229353;12.384195;13.908245
build/stencil_openmp/openmp_benchmark_tmp_matrix;24;13.551446;13.659142;14.631056
build/stencil_openmp/openmp_benchmark_tmp_matrix;32;14.390404;14.731645;15.850576
build/stencil_openmp/openmp_benchmark_tmp_matrix;36;15.190133;15.523993;16.526620
build/stencil_openmp/openmp_benchmark_tmp_matrix;40;14.779191;15.202249;16.766202
build/stencil_openmp/openmp_benchmark_tmp_matrix;48;14.502861;14.762063;16.296430
build/stencil_openmp/openmp_benchmark_one_vector;1;36.094420;36.132521;36.222130
build/stencil_openmp/openmp_benchmark_one_vector;2;18.016183;18.324374;25.499272
build/stencil_openmp/openmp_benchmark_one_vector;4;9.304883;9.685477;16.884415
build/stencil_openmp/openmp_benchmark_one_vector;8;4.337793;4.629976;11.833195
build/stencil_openmp/openmp_benchmark_one_vector;10;3.633398;3.845487;9.300115
build/stencil_openmp/openmp_benchmark_one_vector;12;3.116719;3.463733;8.810384
build/stencil_openmp/openmp_benchmark_one_vector;16;2.663012;2.936444;8.021096
build/stencil_openmp/openmp_benchmark_one_vector;20;3.006202;3.291144;9.134825
build/stencil_openmp/openmp_benchmark_one_vector;24;2.906835;3.230906;8.968273
build/stencil_openmp/openmp_benchmark_one_vector;32;2.771150;3.072616;8.658258
build/stencil_openmp/openmp_benchmark_one_vector;36;3.474797;3.832757;11.004500
build/stencil_openmp/openmp_benchmark_one_vector;40;3.665815;4.010689;9.930048
build/stencil_openmp/openmp_benchmark_one_vector;48;4.403298;4.743193;11.775546
build/stencil_openmp/openmp_benchmark_one_vector_tld;1;36.425532;36.573418;37.127279
build/stencil_openmp/openmp_benchmark_one_vector_tld;2;18.638687;19.573237;19.998957
build/stencil_openmp/openmp_benchmark_one_vector_tld;4;10.230818;10.376816;12.816959
build/stencil_openmp/openmp_benchmark_one_vector_tld;8;4.319304;4.527105;9.834885
build/stencil_openmp/openmp_benchmark_one_vector_tld;10;3.484501;3.640841;7.526218
build/stencil_openmp/openmp_benchmark_one_vector_tld;12;2.789212;2.910819;5.637087
build/stencil_openmp/openmp_benchmark_one_vector_tld;16;2.168842;2.381901;5.035685
build/stencil_openmp/openmp_benchmark_one_vector_tld;20;2.178988;2.410680;5.068868
build/stencil_openmp/openmp_benchmark_one_vector_tld;24;1.794855;2.017808;4.237180
build/stencil_openmp/openmp_benchmark_one_vector_tld;32;1.345938;1.544554;3.134976
build/stencil_openmp/openmp_benchmark_one_vector_tld;36;1.839986;1.995226;2.894339
build/stencil_openmp/openmp_benchmark_one_vector_tld;40;2.141252;2.268213;3.222608
build/stencil_openmp/openmp_benchmark_one_vector_tld;48;2.078233;2.321403;4.848859
build/stencil_openmp/openmp_benchmark_one_vector_colwise;1;223.421692;223.537064;223.668971
