rows;1000
cols;1000
its;1
algorithm;P;min;avg;max
build/stencil_mpi/mpi_benchmark_nonblocking;10;2.991915;6.419237;20.588875
build/stencil_mpi/mpi_benchmark_nonblocking;12;2.397060;5.904953;23.216009
build/stencil_mpi/mpi_benchmark_nonblocking;16;1.811981;6.594419;21.631002
build/stencil_mpi/mpi_benchmark_nonblocking;20;1.507044;7.689357;27.964115
build/stencil_mpi/mpi_benchmark_nonblocking;24;1.536131;8.136479;31.016111
build/stencil_mpi/mpi_benchmark_nonblocking;32;1.235962;5.800668;22.988081
build/stencil_mpi/mpi_benchmark_nonblocking;36;1.092911;7.414333;22.475958
build/stencil_mpi/mpi_benchmark_nonblocking;40;2.034903;10.976648;36.231041
build/stencil_mpi/mpi_benchmark_nonblocking;48;5.590916;28.159014;108.267069
build/stencil_mpi/mpi_benchmark_onesided_fence;1;36.013842;38.414264;47.204018
build/stencil_mpi/mpi_benchmark_onesided_fence;2;13.478041;15.209262;22.204161
build/stencil_mpi/mpi_benchmark_onesided_fence;4;7.519007;12.244821;26.469946
build/stencil_mpi/mpi_benchmark_onesided_fence;8;3.845930;10.631609;32.531977
build/stencil_mpi/mpi_benchmark_onesided_fence;10;3.206015;7.996885;25.985956
build/stencil_mpi/mpi_benchmark_onesided_fence;12;2.725840;7.413530;23.616076
build/stencil_mpi/mpi_benchmark_onesided_fence;16;2.155066;9.078590;29.883862
build/stencil_mpi/mpi_benchmark_onesided_fence;20;1.863003;8.495220;28.289080
build/stencil_mpi/mpi_benchmark_onesided_fence;24;1.932859;9.482209;34.516096
build/stencil_mpi/mpi_benchmark_onesided_fence;32;2.077103;13.586855;50.796986
build/stencil_mpi/mpi_benchmark_onesided_fence;36;1.497984;8.628074;26.918173
build/stencil_mpi/mpi_benchmark_onesided_fence;40;1.460791;8.509612;32.800198
build/stencil_mpi/mpi_benchmark_onesided_fence;48;10.841131;96.177085;360.373020
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;34.469128;36.888313;46.133995
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;15.478849;18.451715;25.372982
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;6.808996;10.798772;25.834084
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;3.745079;10.506789;27.967930
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;3.033876;7.829968;23.154020
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;2.617121;7.656829;27.614117
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;1.996040;8.574430;28.031111
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;1.667023;9.421515;30.376911
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;1.729965;8.774424;26.638985
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;1.448154;7.990583;26.899099
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;1.328945;10.003670;27.359009
build/stencil_mpi/mpi_benchmark_onesided_pscw;40;1.255035;9.406360;28.950930
build/stencil_mpi/mpi_benchmark_onesided_pscw;48;21.822214;79.044366;220.536947

rows;1000
cols;1000
its;100
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;506.891113;522.829777;630.437988
build/stencil_sequential/sequential_benchmark_one_vector;1;360.171875;360.633919;362.939941
build/stencil_mpi/mpi_benchmark_sendrecv;1;351.847172;360.450196;373.372078
build/stencil_mpi/mpi_benchmark_sendrecv;2;151.810169;296.948934;919.373035
build/stencil_mpi/mpi_benchmark_sendrecv;4;68.662167;413.147426;1684.222937
build/stencil_mpi/mpi_benchmark_sendrecv;8;45.456171;509.415309;1724.841118
build/stencil_mpi/mpi_benchmark_sendrecv;10;30.171871;311.987511;1256.561995
build/stencil_mpi/mpi_benchmark_sendrecv;12;24.815083;383.105071;1558.335066
build/stencil_mpi/mpi_benchmark_sendrecv;16;18.557072;357.051404;1321.998119
build/stencil_mpi/mpi_benchmark_sendrecv;20;15.938044;279.920681;1038.255930
build/stencil_mpi/mpi_benchmark_sendrecv;24;15.879869;107.166847;631.194115
